Date,Geography,Metric,Value
2018-01-01,Citywide,GDP_Growth_YoY_pct,2.21
2018-02-01,Citywide,GDP_Growth_YoY_pct,2.22
2018-03-01,Citywide,GDP_Growth_YoY_pct,2.24
2018-04-01,Citywide,GDP_Growth_YoY_pct,2.29
2018-05-01,Citywide,GDP_Growth_YoY_pct,2.29
2018-06-01,Citywide,GDP_Growth_YoY_pct,2.29
2018-07-01,Citywide,GDP_Growth_YoY_pct,2.34
2018-08-01,Citywide,GDP_Growth_YoY_pct,2.37
2018-09-01,Citywide,GDP_Growth_YoY_pct,2.36
2018-10-01,Citywide,GDP_Growth_YoY_pct,2.38
2018-11-01,Citywide,GDP_Growth_YoY_pct,2.37
2018-12-01,Citywide,GDP_Growth_YoY_pct,2.36
2019-01-01,Citywide,GDP_Growth_YoY_pct,2.37
2019-02-01,Citywide,GDP_Growth_YoY_pct,2.32
2019-03-01,Citywide,GDP_Growth_YoY_pct,2.27
2019-04-01,Citywide,GDP_Growth_YoY_pct,2.26
2019-05-01,Citywide,GDP_Growth_YoY_pct,2.24
2019-06-01,Citywide,GDP_Growth_YoY_pct,2.25
2019-07-01,Citywide,GDP_Growth_YoY_pct,2.23
2019-08-01,Citywide,GDP_Growth_YoY_pct,2.19
2019-09-01,Citywide,GDP_Growth_YoY_pct,2.24
2019-10-01,Citywide,GDP_Growth_YoY_pct,2.24
2019-11-01,Citywide,GDP_Growth_YoY_pct,2.25
2019-12-01,Citywide,GDP_Growth_YoY_pct,2.21
2020-01-01,Citywide,GDP_Growth_YoY_pct,2.2
2020-02-01,Citywide,GDP_Growth_YoY_pct,2.21
2020-03-01,Citywide,GDP_Growth_YoY_pct,2.18
2020-04-01,Citywide,GDP_Growth_YoY_pct,2.19
2020-05-01,Citywide,GDP_Growth_YoY_pct,2.18
2020-06-01,Citywide,GDP_Growth_YoY_pct,2.18
2020-07-01,Citywide,GDP_Growth_YoY_pct,2.16
2020-08-01,Citywide,GDP_Growth_YoY_pct,2.22
2020-09-01,Citywide,GDP_Growth_YoY_pct,2.23
2020-10-01,Citywide,GDP_Growth_YoY_pct,2.2
2020-11-01,Citywide,GDP_Growth_YoY_pct,2.23
2020-12-01,Citywide,GDP_Growth_YoY_pct,2.2
2021-01-01,Citywide,GDP_Growth_YoY_pct,2.21
2021-02-01,Citywide,GDP_Growth_YoY_pct,2.16
2021-03-01,Citywide,GDP_Growth_YoY_pct,2.12
2021-04-01,Citywide,GDP_Growth_YoY_pct,2.13
2021-05-01,Citywide,GDP_Growth_YoY_pct,2.16
2021-06-01,Citywide,GDP_Growth_YoY_pct,2.17
2021-07-01,Citywide,GDP_Growth_YoY_pct,2.17
2021-08-01,Citywide,GDP_Growth_YoY_pct,2.17
2021-09-01,Citywide,GDP_Growth_YoY_pct,2.13
2021-10-01,Citywide,GDP_Growth_YoY_pct,2.11
2021-11-01,Citywide,GDP_Growth_YoY_pct,2.1
2021-12-01,Citywide,GDP_Growth_YoY_pct,2.14
2022-01-01,Citywide,GDP_Growth_YoY_pct,2.15
2022-02-01,Citywide,GDP_Growth_YoY_pct,2.11
2022-03-01,Citywide,GDP_Growth_YoY_pct,2.12
2022-04-01,Citywide,GDP_Growth_YoY_pct,2.11
2022-05-01,Citywide,GDP_Growth_YoY_pct,2.1
2022-06-01,Citywide,GDP_Growth_YoY_pct,2.12
2022-07-01,Citywide,GDP_Growth_YoY_pct,2.16
2022-08-01,Citywide,GDP_Growth_YoY_pct,2.19
2022-09-01,Citywide,GDP_Growth_YoY_pct,2.17
2022-10-01,Citywide,GDP_Growth_YoY_pct,2.17
2022-11-01,Citywide,GDP_Growth_YoY_pct,2.18
2022-12-01,Citywide,GDP_Growth_YoY_pct,2.22
2023-01-01,Citywide,GDP_Growth_YoY_pct,2.21
2023-02-01,Citywide,GDP_Growth_YoY_pct,2.21
2023-03-01,Citywide,GDP_Growth_YoY_pct,2.18
2023-04-01,Citywide,GDP_Growth_YoY_pct,2.15
2023-05-01,Citywide,GDP_Growth_YoY_pct,2.18
2023-06-01,Citywide,GDP_Growth_YoY_pct,2.22
2023-07-01,Citywide,GDP_Growth_YoY_pct,2.23
